Temperature,Range Loss
-12.9,-47.9268779
-12.8,-47.8100651
-12.7,-47.692824
-12.6,-47.5751539
-12.5,-47.4570539
-12.4,-47.3385232
-12.3,-47.2195611
-12.2,-47.1001667
-12.1,-46.9803394
-12,-46.8600783
-11.9,-46.7393827
-11.8,-46.618252
-11.7,-46.4966854
-11.6,-46.3746822
-11.5,-46.2522417
-11.4,-46.1293632
-11.3,-46.0060462
-11.2,-45.8822899
-11.1,-45.7580937
-11,-45.633457
-10.9,-45.5083792
-10.8,-45.3828597
-10.7,-45.256898
-10.6,-45.1304935
-10.5,-45.0036457
-10.4,-44.8763539
-10.3,-44.7486178
-10.2,-44.6204369
-10.1,-44.4918106
-10,-44.3627385
-9.9,-44.2332203
-9.8,-44.1032553
-9.7,-43.9728434
-9.6,-43.8419841
-9.5,-43.7106769
-9.4,-43.5789217
-9.3,-43.4467181
-9.2,-43.3140657
-9.1,-43.1809644
-9,-43.0474138
-8.9,-42.9134137
-8.8,-42.7789638
-8.7,-42.6440642
-8.6,-42.5087144
-8.5,-42.3729145
-8.4,-42.2366642
-8.3,-42.0999635
-8.2,-41.9628124
-8.1,-41.8252107
-8,-41.6871585
-7.9,-41.5486557
-7.8,-41.4097025
-7.7,-41.2702988
-7.6,-41.1304447
-7.5,-40.9901404
-7.4,-40.849386
-7.3,-40.7081817
-7.2,-40.5665277
-7.1,-40.4244241
-7,-40.2818714
-6.9,-40.1388697
-6.8,-39.9954193
-6.7,-39.8515208
-6.6,-39.7071743
-6.5,-39.5623804
-6.4,-39.4171395
-6.3,-39.2714521
-6.2,-39.1253187
-6.1,-38.9787399
-6,-38.8317162
-5.9,-38.6842484
-5.8,-38.5363369
-5.7,-38.3879826
-5.6,-38.2391862
-5.5,-38.0899485
-5.4,-37.9402703
-5.3,-37.7901523
-5.2,-37.6395957
-5.1,-37.4886012
-5,-37.3371698
-4.9,-37.1853025
-4.8,-37.0330005
-4.7,-36.8802649
-4.6,-36.7270967
-4.5,-36.5734971
-4.4,-36.4194674
-4.3,-36.2650089
-4.2,-36.1101229
-4.1,-35.9548108
-4,-35.7990739
-3.9,-35.6429139
-3.8,-35.4863321
-3.7,-35.3293301
-3.6,-35.1719096
-3.5,-35.0140722
-3.4,-34.8558196
-3.3,-34.6971537
-3.2,-34.5380761
-3.1,-34.3785889
-3,-34.2186939
-2.9,-34.0583931
-2.8,-33.8976886
-2.7,-33.7365824
-2.6,-33.5750767
-2.5,-33.4131736
-2.4,-33.2508756
-2.3,-33.0881849
-2.2,-32.9251038
-2.1,-32.7616349
-2,-32.5977806
-1.9,-32.4335434
-1.8,-32.2689261
-1.7,-32.1039313
-1.6,-31.9385618
-1.5,-31.7728204
-1.4,-31.6067099
-1.3,-31.4402335
-1.2,-31.2733939
-1.1,-31.1061944
-1,-30.9386381
-0.9,-30.7707282
-0.8,-30.602468
-0.7,-30.4338609
-0.6,-30.2649104
-0.5,-30.0956198
-0.4,-29.9259929
-0.3,-29.7560332
-0.2,-29.5857445
-0.1,-29.4151306
0,-29.2441954
0.1,-29.0729428
0.2,-28.901377
0.3,-28.7295019
0.4,-28.5573218
0.5,-28.3848409
0.6,-28.2120636
0.7,-28.0389944
0.8,-27.8656378
0.9,-27.6919983
1,-27.5180806
1.1,-27.3438895
1.2,-27.16943
1.3,-26.9947068
1.4,-26.819725
1.5,-26.6444898
1.6,-26.4690062
1.7,-26.2932798
1.8,-26.1173157
1.9,-25.9411195
2,-25.7646967
2.1,-25.5880531
2.2,-25.4111942
2.3,-25.234126
2.4,-25.0568545
