Temperature,Tesla Factors,Not Tesla Factors
-5.8,0.709880842,0.614636631
-5.7,0.711171033,0.616120174
-5.6,0.712463825,0.617608138
-5.5,0.713759199,0.619100515
-5.4,0.715057139,0.620597297
-5.3,0.716357624,0.622098477
-5.2,0.717660637,0.623604043
-5.1,0.718966157,0.625113988
-5.0,0.720274167,0.626628302
-4.9,0.721584645,0.628146975
-4.8,0.722897572,0.629669995
-4.7,0.724212927,0.631197351
-4.6,0.725530689,0.632729033
-4.5,0.726850837,0.634265029
-4.4,0.728173349,0.635805326
-4.3,0.729498204,0.637349911
-4.2,0.730825378,0.638898771
-4.1,0.73215485,0.640451892
-4.0,0.733486596,0.642009261
-3.9,0.734820593,0.643570861
-3.8,0.736156817,0.645136679
-3.7,0.737495244,0.646706699
-3.6,0.738835848,0.648280904
-3.5,0.740178606,0.649859278
-3.4,0.741523492,0.651441804
-3.3,0.742870479,0.653028463
-3.2,0.744219543,0.654619239
-3.1,0.745570656,0.656214111
-3.0,0.746923791,0.657813061
-2.9,0.748278921,0.659416069
-2.8,0.749636018,0.661023114
-2.7,0.750995055,0.662634176
-2.6,0.752356001,0.664249233
-2.5,0.753718829,0.665868264
-2.4,0.755083509,0.667491244
-2.3,0.756450011,0.669118151
-2.2,0.757818304,0.670748962
-2.1,0.759188358,0.672383651
-2.0,0.760560143,0.674022194
-1.9,0.761933625,0.675664566
-1.8,0.763308773,0.677310739
-1.7,0.764685555,0.678960687
-1.6,0.766063937,0.680614382
-1.5,0.767443887,0.682271796
-1.4,0.768825369,0.683932901
-1.3,0.770208351,0.685597665
-1.2,0.771592797,0.687266061
-1.1,0.772978672,0.688938056
-1.0,0.77436594,0.690613619
-0.9,0.775754565,0.692292718
-0.8,0.77714451,0.69397532
-0.7,0.778535739,0.695661391
-0.6,0.779928213,0.697350896
-0.5,0.781321895,0.699043802
-0.4,0.782716746,0.700740071
-0.3,0.784112726,0.702439668
-0.2,0.785509797,0.704142555
-0.1,0.786907918,0.705848694
0.0,0.788307049,0.707558046
0.1,0.789707149,0.709270572
0.2,0.791108175,0.71098623
0.3,0.792510087,0.712704981
0.4,0.793912841,0.714426782
0.5,0.795316394,0.716151591
0.6,0.796720703,0.717879364
0.7,0.798125724,0.719610056
0.8,0.799531412,0.721343622
0.9,0.800937722,0.723080017
1.0,0.802344609,0.724819194
1.1,0.803752025,0.726561105
1.2,0.805159925,0.7283057
1.3,0.806568262,0.730052932
1.4,0.807976986,0.73180275
1.5,0.809386051,0.733555102
1.6,0.810795407,0.735309938
1.7,0.812205005,0.737067202
1.8,0.813614796,0.738826843
1.9,0.815024728,0.740588805
2.0,0.81643475,0.742353033
2.1,0.817844812,0.744119469
2.2,0.81925486,0.745888058
2.3,0.820664843,0.74765874
2.4,0.822074707,0.749431455
2.5,0.823484399,0.751206145
2.6,0.824893864,0.752982747
2.7,0.826303048,0.754761199
2.8,0.827711894,0.756541439
2.9,0.829120348,0.758323402
3.0,0.830528352,0.760107022
3.1,0.83193585,0.761892235
3.2,0.833342783,0.763678973
