Temperature,Not Tesla Factors - 10th,Not Tesla Factors - overall,Not Tesla Factors - 90th,Tesla Factors - 10th,Tesla Factors - overall,Tesla Factors - 90th
-15.3,0.338885443,0.493958245,0.637589637,0.431833513,0.600835972,0.726624889
-15.2,0.339497078,0.495026255,0.639012094,0.432293733,0.601835327,0.728062703
-15.1,0.340109482,0.496098327,0.640439674,0.432752949,0.602837908,0.729504446
-15.0,0.340722669,0.497174471,0.641872388,0.433211197,0.603843714,0.730950121
-14.9,0.341336653,0.498254698,0.643310251,0.433668513,0.604852748,0.732399731
-14.8,0.341951448,0.499339018,0.644753272,0.434124932,0.605865008,0.73385328
-14.7,0.34256707,0.500427439,0.646201466,0.434580491,0.606880497,0.735310769
-14.6,0.343183533,0.501519972,0.647654843,0.435035225,0.607899215,0.736772201
-14.5,0.343800851,0.502616626,0.649113415,0.43548917,0.608921161,0.73823758
-14.4,0.344419039,0.503717412,0.650577195,0.435942363,0.609946336,0.739706907
-14.3,0.345038112,0.504822338,0.652046194,0.436394838,0.610974741,0.741180184
-14.2,0.345658084,0.505931413,0.653520423,0.436846633,0.612006375,0.742657414
-14.1,0.346278971,0.507044648,0.654999895,0.437297782,0.613041239,0.744138599
-14.0,0.346900787,0.508162052,0.65648462,0.437748322,0.614079331,0.74562374
-13.9,0.347523547,0.509283634,0.657974611,0.438198289,0.615120653,0.74711284
-13.8,0.348147267,0.510409403,0.659469877,0.438647719,0.616165203,0.748605899
-13.7,0.348771962,0.511539368,0.660970432,0.439096648,0.617212981,0.750102919
-13.6,0.349397646,0.512673539,0.662476284,0.439545112,0.618263986,0.751603901
-13.5,0.350024335,0.513811923,0.663987446,0.439993146,0.619318218,0.753108846
-13.4,0.350652044,0.514954531,0.665503929,0.440440787,0.620375675,0.754617755
-13.3,0.351280789,0.516101371,0.667025742,0.440888071,0.621436357,0.756130629
-13.2,0.351910584,0.517252451,0.668552897,0.441335033,0.622500263,0.757647467
-13.1,0.352541447,0.518407781,0.670085404,0.44178171,0.623567391,0.759168272
-13.0,0.353173391,0.519567368,0.671623274,0.442228137,0.62463774,0.760693042
-12.9,0.353806432,0.520731221,0.673166516,0.44267435,0.625711308,0.762221777
-12.8,0.354440587,0.521899349,0.674715141,0.443120386,0.626788094,0.763754478
-12.7,0.35507587,0.52307176,0.676269159,0.443566279,0.627868096,0.765291144
-12.6,0.355712298,0.524248461,0.67782858,0.444012065,0.628951312,0.766831774
-12.5,0.356349886,0.525429461,0.679393413,0.444457781,0.630037741,0.768376368
-12.4,0.35698865,0.526614768,0.680963668,0.444903462,0.631127379,0.769924925
-12.3,0.357628606,0.527804389,0.682539354,0.445349143,0.632220224,0.771477443
-12.2,0.358269769,0.528998333,0.684120481,0.445794861,0.633316274,0.773033922
-12.1,0.358912157,0.530196606,0.685707058,0.44624065,0.634415527,0.774594359
-12.0,0.359555784,0.531399217,0.687299094,0.446686546,0.635517979,0.776158754
-11.9,0.360200666,0.532606173,0.688896597,0.447132585,0.636623628,0.777727103
-11.8,0.360846821,0.53381748,0.690499577,0.447578802,0.63773247,0.779299405
-11.7,0.361494263,0.535033146,0.692108042,0.448025232,0.638844503,0.780875658
-11.6,0.36214301,0.536253178,0.693722,0.44847191,0.639959722,0.782455859
-11.5,0.362793077,0.537477583,0.695341459,0.448918873,0.641078125,0.784040006
-11.4,0.36344448,0.538706368,0.696966428,0.449366154,0.642199707,0.785628094
-11.3,0.364097236,0.539939538,0.698596914,0.449813788,0.643324465,0.787220121
-11.2,0.364751361,0.541177101,0.700232925,0.450261812,0.644452394,0.788816084
-11.1,0.365406872,0.542419063,0.701874468,0.450710259,0.645583491,0.790415979
-11.0,0.366063784,0.54366543,0.703521551,0.451159165,0.646717751,0.792019802
-10.9,0.366722115,0.544916208,0.705174181,0.451608564,0.647855169,0.793627548
-10.8,0.36738188,0.546171403,0.706832365,0.452058491,0.648995741,0.795239214
-10.7,0.368043096,0.54743102,0.708496109,0.452508981,0.650139461,0.796854794
-10.6,0.36870578,0.548695065,0.71016542,0.452960067,0.651286325,0.798474285
-10.5,0.369369948,0.549963543,0.711840304,0.453411785,0.652436328,0.80009768
-10.4,0.370035617,0.551236461,0.713520767,0.453864169,0.653589463,0.801724975
-10.3,0.370702803,0.552513822,0.715206816,0.454317253,0.654745725,0.803356163
-10.2,0.371371523,0.553795631,0.716898456,0.454771071,0.655905109,0.80499124
-10.1,0.372041793,0.555081894,0.718595692,0.455225657,0.657067608,0.806630198
-10.0,0.37271363,0.556372615,0.720298529,0.455681045,0.658233216,0.808273032
-9.9,0.373387051,0.557667797,0.722006973,0.45613727,0.659401926,0.809919734
-9.8,0.374062073,0.558967447,0.723721028,0.456594364,0.660573733,0.811570298
-9.7,0.374738712,0.560271566,0.725440699,0.457052362,0.661748628,0.813224717
-9.6,0.375416985,0.561580159,0.727165991,0.457511296,0.662926606,0.814882983
-9.5,0.376096908,0.562893231,0.728896906,0.457971202,0.664107658,0.816545088
-9.4,0.376778499,0.564210783,0.730633449,0.458432111,0.665291778,0.818211025
-9.3,0.377461774,0.565532819,0.732375623,0.458894057,0.666478957,0.819880784
-9.2,0.378146751,0.566859343,0.734123432,0.459357073,0.667669188,0.821554358
-9.1,0.378833445,0.568190356,0.735876879,0.459821193,0.668862462,0.823231737
-9.0,0.379521873,0.569525862,0.737635966,0.460286448,0.670058772,0.824912912
-8.9,0.380212053,0.570865863,0.739400696,0.460752873,0.671258108,0.826597874
-8.8,0.380904002,0.572210362,0.741171071,0.461220499,0.672460463,0.828286613
-8.7,0.381597735,0.573559358,0.742947092,0.461689359,0.673665826,0.829979118
-8.6,0.382293271,0.574912856,0.744728762,0.462159486,0.674874189,0.83167538
-8.5,0.382990625,0.576270855,0.746516082,0.462630912,0.676085542,0.833375387
-8.4,0.383689815,0.577633358,0.748309053,0.46310367,0.677299876,0.835079128
